gene	ix
ENSG00000132465	0
ENSG00000107317	1
ENSG00000134532	2
ENSG00000196628	3
ENSG00000275302	4
ENSG00000239264	5
ENSG00000184226	6
ENSG00000170476	7
ENSG00000164330	8
ENSG00000182463	9
ENSG00000082293	10
ENSG00000129757	11
ENSG00000174482	12
ENSG00000163534	13
ENSG00000156738	14
ENSG00000125538	15
ENSG00000158813	16
ENSG00000196092	17
ENSG00000150625	18
ENSG00000144645	19
ENSG00000133424	20
ENSG00000105889	21
ENSG00000105369	22
ENSG00000185666	23
ENSG00000169507	24
ENSG00000144290	25
ENSG00000263961	26
ENSG00000100450	27
ENSG00000111249	28
ENSG00000180644	29
ENSG00000169245	30
ENSG00000116191	31
ENSG00000184305	32
ENSG00000151320	33
ENSG00000182901	34
ENSG00000154928	35
ENSG00000157168	36
ENSG00000136573	37
ENSG00000100721	38
ENSG00000203747	39
ENSG00000173068	40
ENSG00000153064	41
ENSG00000012124	42
ENSG00000112232	43
ENSG00000221866	44
ENSG00000030419	45
ENSG00000100453	46
ENSG00000169429	47
ENSG00000143297	48
ENSG00000042980	49
