gene	chrom	start	end	tss	strand	ensembl_transcript_id
ENSG00000132465	chr4	70656526	70676526	70666526	-1	ENST00000391614
ENSG00000107317	chr9	136965092	136985092	136975092	1	ENST00000640716
ENSG00000134532	chr12	24552487	24572487	24562487	-1	ENST00000446891
ENSG00000196628	chr18	55579839	55599839	55589839	-1	ENST00000564403
ENSG00000184226	chr13	67220445	67240445	67230445	-1	ENST00000377861
ENSG00000174482	chr9	29202193	29222193	29212193	-1	ENST00000698404
ENSG00000158813	chrX	69606067	69626067	69616067	1	ENST00000527388
ENSG00000150625	chr4	175992356	176012356	176002356	-1	ENST00000512509
ENSG00000133424	chr22	33910476	33930476	33920476	-1	ENST00000397394
ENSG00000275302	chr17	36093827	36113827	36103827	1	ENST00000621626
ENSG00000105889	chr7	22717613	22737613	22727613	-1	ENST00000650428
ENSG00000182463	chr20	52962358	52982358	52972358	1	ENST00000371497
ENSG00000164330	chr5	159089916	159109916	159099916	-1	ENST00000313708
ENSG00000082293	chr6	69857549	69877549	69867549	1	ENST00000476656
ENSG00000170476	chr5	139379913	139399913	139389913	-1	ENST00000302125
ENSG00000129757	chr11	2875775	2895775	2885775	-1	ENST00000440480
ENSG00000163534	chr1	157810120	157830120	157820120	-1	ENST00000368176
ENSG00000156738	chr11	60445846	60465846	60455846	1	ENST00000532491
ENSG00000185666	chr22	33048381	33068381	33058381	-1	ENST00000358763
ENSG00000125538	chr2	112826816	112846816	112836816	-1	ENST00000418817
ENSG00000196092	chr9	37024268	37044268	37034268	-1	ENST00000523241
ENSG00000169507	chr2	164945477	164965477	164955477	-1	ENST00000409058
ENSG00000144290	chr2	161417453	161437453	161427453	1	ENST00000606386
ENSG00000151789	chr3	21741210	21761210	21751210	-1	ENST00000281523
ENSG00000144645	chr3	31970946	31990946	31980946	-1	ENST00000480671
ENSG00000263961	chr1	206043173	206063173	206053173	1	ENST00000331555
ENSG00000239264	chr6	7900788	7920788	7910788	-1	ENST00000379757
ENSG00000105369	chr19	41867279	41887279	41877279	1	ENST00000221972
ENSG00000111249	chr12	111024165	111044165	111034165	1	ENST00000261726
ENSG00000169245	chr4	76013497	76033497	76023497	-1	ENST00000306602
ENSG00000182901	chr1	241347085	241367085	241357085	-1	ENST00000366564
ENSG00000151320	chr14	32423164	32443164	32433164	1	ENST00000554449
ENSG00000154928	chr3	134842506	134862506	134852506	1	ENST00000474732
ENSG00000100450	chr14	24599699	24619699	24609699	-1	ENST00000382548
ENSG00000188580	chr6	123793865	123813865	123803865	1	ENST00000368417
ENSG00000100721	chr14	95704196	95724196	95714196	-1	ENST00000554012
ENSG00000173068	chr9	16860747	16880747	16870747	-1	ENST00000545497
ENSG00000180644	chr10	70592759	70612759	70602759	-1	ENST00000373209
ENSG00000149294	chr11	112951368	112971368	112961368	1	ENST00000401611
ENSG00000012124	chr19	35319169	35339169	35329169	1	ENST00000341773
ENSG00000116191	chr1	178715219	178735219	178725219	1	ENST00000367634
ENSG00000221866	chr7	132567301	132587301	132577301	-1	ENST00000359827
ENSG00000112232	chr6	62276225	62296225	62286225	-1	ENST00000281156
ENSG00000184305	chr4	90117394	90137394	90127394	1	ENST00000509176
ENSG00000143297	chr1	157542515	157562515	157552515	-1	ENST00000361835
ENSG00000144642	chr3	29270982	29290982	29280982	1	ENST00000434693
ENSG00000169429	chr4	73730541	73750541	73740541	1	ENST00000401931
ENSG00000137441	chr4	15953175	15973175	15963175	-1	ENST00000259989
ENSG00000182010	chr10	62258707	62278707	62268707	-1	ENST00000395260
ENSG00000136573	chr8	11484387	11504387	11494387	1	ENST00000259089
